**Department of Parks and Recreation and New York City Sports Commission Data Requirements**

**Tabular Datasets**

1.  **Park and Recreation Property Inventory**
    *   **Quotes:**
        *   "to manage and care for all parks, squares and public places, the sidewalks immediately adjoining the same and all playgrounds, playground fixtures and other recreation properties, except those within the jurisdiction of the board of education or other agencies" (Section 533.a.1)
        *   "to prepare plans for the establishment and improvement of a park system for the city with due regard to proper connections with the systems of federal, state and county parks and recreation areas in the city and the counties adjacent to the city" (Section 533.a.2)
        *   "to maintain the beauty and utility of all parks, squares, public places, playgrounds and other recreational properties" (Section 533.a.3)
        *   "to establish and enforce rules and regulations for the use, government and protection of public parks and of all property under the charge and control of the department" (Section 533.a.9)
        *   "to plan, acquire, construct, improve and manage facilities for the recreation of the public" (Section 533.b.1)
    *   **Why:** To effectively manage, maintain, and plan for all park and recreation properties under the department's jurisdiction.
    *   **One row represents:** A single park, square, public place, playground, or other recreation property.
    *   **Covers:** All land-based and associated properties managed by the Department of Parks and Recreation.
    *   **Columns:**
        *   Property ID
        *   Property Name
        *   Property Type (e.g., Park, Square, Public Place, Playground, Recreation Area)
        *   Location (Address, Borough, GPS Coordinates)
        *   Size/Area
        *   Acquisition Date
        *   Jurisdiction (DPR, or shared with Battery Park City Authority, Hudson River Park Trust, Brooklyn Bridge Park Corporation)
        *   Connection to Federal/State/County Systems (Yes/No)
        *   Last Major Improvement Date
        *   Current Status (e.g., Open, Under Renovation, Closed)

2.  **Building and Structure Inventory**
    *   **Quotes:**
        *   "such jurisdiction shall not extend to or include the buildings which are not or hereafter may be erected in parks, squares or public places for governmental purposes other than those of the department" (Section 533.a.1)
        *   "to maintain buildings and structures now or hereafter erected or established in any park, square, public place or playground under his or her jurisdiction and to carry out and perform existing contracts with corporations or institutions for the construction and maintenance of such buildings and structures" (Section 533.a.6)
        *   "to provide the necessary instruments, furniture and equipment for the several buildings and structures within his or her jurisdiction" (Section 533.a.7)
    *   **Why:** To track and manage all buildings and structures within the department's jurisdiction for maintenance and operational purposes.
    *   **One row represents:** A single building or structure.
    *   **Covers:** All buildings and structures located within parks, squares, public places, or playgrounds under DPR jurisdiction.
    *   **Columns:**
        *   Building/Structure ID
        *   Building/Structure Name
        *   **Property ID** (links to Dataset 1)
        *   Building/Structure Type (e.g., Recreation Center, Restroom, Office, Pavilion, Monument)
        *   Location within Property
        *   Construction Date
        *   Last Renovation Date
        *   Current Condition Rating
        *   Associated Contracts (Yes/No)

3.  **Tree and Planting Inventory**
    *   **Quotes:**
        *   "to plant and maintain trees" (Section 533.a.4)
        *   "to plan, plant and maintain trees and other plantings" (Section 533.a.11)
    *   **Why:** To manage the planting, maintenance, and overall health of trees and other plantings across the city.
    *   **One row represents:** A single tree or a distinct planting area.
    *   **Covers:** All trees and other plantings under the department's jurisdiction, including those in parks and on streets/avenues.
    *   **Columns:**
        *   Tree/Planting ID
        *   **Property ID** (links to Dataset 1, if applicable)
        *   Location (GPS, Street Address, specific location within property)
        *   Type of Planting (e.g., Tree, Shrub, Flowerbed)
        *   Species (for trees/specific plantings)
        *   Planting Date
        *   Last Maintenance Date
        *   Condition Rating
        *   Maintenance Needs (e.g., Pruning, Watering, Pest Control)

4.  **Park Amenity Inventory**
    *   **Quotes:**
        *   "to construct, erect and establish seats, drinking fountains, statues and works of art in any place within his or her jurisdiction, and to determine when and where lamps or lighting appliances shall be placed and lighted therein and the design thereof" (Section 533.a.4)
        *   "to plan, acquire, design, construct, improve, alter, repair and maintain works of art" (Section 533.a.11)
    *   **Why:** To track the location, type, and condition of all fixed amenities within parks and public spaces.
    *   **One row represents:** A single amenity item.
    *   **Covers:** Seats, drinking fountains, statues, works of art, lamps, and lighting appliances within DPR jurisdiction.
    *   **Columns:**
        *   Amenity ID
        *   Amenity Type (e.g., Seat, Drinking Fountain, Statue, Work of Art, Lamp)
        *   **Property ID** (links to Dataset 1)
        *   Location within Property
        *   Installation Date
        *   Design Details (for lamps/art)
        *   Current Condition
        *   Last Maintenance Date

5.  **Facility Equipment Inventory**
    *   **Quotes:**
        *   "to provide the necessary instruments, furniture and equipment for the several buildings and structures within his or her jurisdiction" (Section 533.a.7)
    *   **Why:** To manage and track all movable instruments, furniture, and equipment within department buildings and structures.
    *   **One row represents:** A single piece of equipment or furniture.
    *   **Covers:** All instruments, furniture, and equipment provided for buildings and structures under DPR jurisdiction.
    *   **Columns:**
        *   Equipment ID
        *   Item Name
