dept,full_dept,,,,,,,,
Technology,Office of Technology and Innovation (OTI),,,,,,,,
Film,Office of Film Theatre and Broadcasting (FILM),,,,,,,,
Education,Department of Education (DOE),,,,,,,,
Planning,Department of City Planning (DCP),,,,,,,,
Transportation,Department of Transportation (DOT),,,,,,,,
Finance,Department of Finance (DOF),,,,,,,,
Budget,Mayors Office of Management & Budget (OMB),,,,,,,,
Probation,Department of Probation (DOP),,,,,,,,
Parks,Department of Parks and Recreation (DPR),,,,,,,,
Environment,Department of Environmental Protection (DEP),,,,,,,,
MayorEnvironment,Mayors Office of Environmental Remediation (OER),,,,,,,,
IndependentBudget,NYC Independent Budget Office (IBO),,,,,,,,
Contract,Mayors Office of Contract Services (MOCS),,,,,,,,
Veterans,Department of Veterans Services (DVS),,,,,,,,
MayorClimate,Mayors Office of Climate and Environmental Justice (MOCEJ),,,,,,,,
SchoolConstruction,School Construction Authority (SCA),,,,,,,,
CommissionPolice,Commission to Combat Police Corruption (CCPC),,,,,,,,
Emergency,NYC Emergency Management (NYCEM),,,,,,,,
ConsumerWorkerProtection,Department of Consumer and Worker Protection (DCWP),,,,,,,,
MayorDomesticViolence,Mayors Office to End Domestic and Gender-Based Violence (ENDGBV),,,,,,,,
MTA,Metropolitan Transportation Authority (MTA),,,,,,,,
ConflictInterest,Conflicts of Interest Board (COIB),,,,,,,,
Mayor,Office of the Mayor,,,,,,,,
HumanResources,Human Resources Administration (HRA),,,,,,,,
Children,Administration for Childrens Services (ACS),,,,,,,,
MayorOperations,Mayors Office of Operations (OPS),,,,,,,,
Correction,Department of Correction (DOC),,,,,,,,
Manhattan,Manhattan Borough President (MBPO),,,,,,,,
NYCHA,New York City Housing Authority (NYCHA),,,,,,,,
Housing,Department of Housing Preservation and Development (HPD),,,,,,,,
SmallBusiness,Department of Small Business Services (SBS),,,,,,,,
Taxi,Taxi and Limousine Commission (TLC),,,,,,,,
Homeless,Department of Homeless Services (DHS),,,,,,,,
Youth,Department of Youth and Community Development (DYCD),,,,,,,,
Buildings,Department of Buildings (DOB),,,,,,,,
AdminServices,Department of Citywide Administrative Services (DCAS),,,,,,,,
Fire,Fire Department of New York City (FDNY),,,,,,,,
CampaignFinance,Campaign Finance Board (CFB),,,,,,,,
Sanitation,Department of Sanitation (DSNY),,,,,,,,
Queens,Queens Borough President (QBP),,,,,,,,
Brooklyn,Brooklyn Borough President (BPBK),,,,,,,,
CityClerk,Office of the City Clerk (OCC),,,,,,,,
Health,Department of Health and Mental Hygiene (DOHMH),,,,,,,,
LandmarksPreservation,Landmarks Preservation Commission (LPC),,,,,,,,
Elections,Board of Elections (BOENY),,,,,,,,
MayorEconomic,Mayors Office for Economic Opportunity,,,,,,,,
Design,Department of Design and Construction (DDC),,,,,,,,
Comptroller,Office of the Comptroller (COMPTROLLER),,,,,,,,
Records,Department of Records and Information Services (DORIS),,,,,,,,
Events,Office of Citywide Event Coordination and Management (CECM),,,,,,,,
HumanRights,Commission on Human Rights (CCHR),,,,,,,,
Aging,Department for the Aging (NYC Aging),,,,,,,,
BusinessIntegrity,Business Integrity Commission (BIC),,,,,,,,
Cultural,Department of Cultural Affairs (DCLA),,,,,,,,
MayorMedia,Mayors Office of Media And Entertainment (MOME),,,,,,,,
AdministrativeTrials,Office of Administrative Trials and Hearings (OATH),,,,,,,,
AdministrativeTax,Office of Administrative Tax Appeals (OATA),,,,,,,,
MayorCoordination,Mayors Office of Environmental Coordination (MOEC),,,,,,,,
MayorEthicMedia,Mayors Office of Ethnic and Community Media (MOECM),,,,,,,,
LatinMedia,Latin Media & Entertainment Commission (LMEC),,,,,,,,
StatenIsland,Staten Island Borough President (BPSI),,,,,,,,
Law,Law Department (LAW),,,,,,,,
QueensLibrary,Queens Library (QBPL),,,,,,,,
EconomicDev,Economic Development Corporation (EDC),,,,,,,,
Labor,Office of Labor Relations (OLR),,,,,,,,
CityCouncil,City Council (NYCC),,,,,,,,
Police,Police Department (NYPD),,,,,,,,
PublicDesign,Public Design Commission (PDC),,,,,,,,
NYCco,NYC & Company (NYCGO),,,,,,,,
Standards,Board of Standards and Appeals (BSA),,,,,,,,
,Mayors Community Affairs Unit (CAU),,,,,,,,
